ID,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS,7/67,20/17872,5.62173072058005e-13,5.25631822374235e-10,4.68674813757831e-10,RGPD5/RGPD3/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,7
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,9/67,294/17872,1.44716454786973e-06,0.000676549426129098,0.000603239116796224,RGPD5/PARP9/RGPD3/DTX3L/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,9
GOBP_IMPORT_INTO_NUCLEUS,7/67,163/17872,2.53415862563637e-06,0.000789812771656667,0.000704229344387369,RGPD5/RGPD3/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,7
GOBP_POSITIVE_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_ASSEMBLY,3/67,12/17872,1.08143469054908e-05,0.00250409443212866,0.00223275293019521,MORC2/SETDB1/RESF1,3
GOBP_PROTEIN_IMPORT,7/67,210/17872,1.3390879316196e-05,0.00250409443212866,0.00223275293019521,RGPD5/RGPD3/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,7
GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION,4/67,45/17872,2.39394235398832e-05,0.00282923282425552,0.00252265960800492,METTL4/MORC2/SETDB1/RESF1,4
GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE,3/67,16/17872,2.72332571318713e-05,0.00282923282425552,0.00252265960800492,MORC2/SETDB1/RESF1,3
GOBP_POSITIVE_REGULATION_OF_CHROMATIN_ORGANIZATION,3/67,16/17872,2.72332571318713e-05,0.00282923282425552,0.00252265960800492,MORC2/SETDB1/RESF1,3
GOBP_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA,3/67,16/17872,2.72332571318713e-05,0.00282923282425552,0.00252265960800492,PARP9/NLRC5/PARP14,3
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,3/67,18/17872,3.94702291601477e-05,0.00335496947861255,0.00299142789424277,BAZ1B/ICE2/ICE1,3
GOBP_REGULATION_OF_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_ASSEMBLY,3/67,18/17872,3.94702291601477e-05,0.00335496947861255,0.00299142789424277,MORC2/SETDB1/RESF1,3
GOBP_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE,3/67,20/17872,5.48470041124791e-05,0.00427349573709733,0.00381042344360381,MORC2/SETDB1/RESF1,3
GOBP_DOUBLE_STRAND_BREAK_REPAIR,7/67,273/17872,7.14688200368103e-05,0.00514025744110905,0.0045832636007412,PARP9/TNKS1BP1/DTX3L/NIPBL/KDM2A/ARID2/PPP4R3B,7
GOBP_HISTONE_MODIFICATION,9/67,498/17872,9.58350196440643e-05,0.0060050687623174,0.00535436471686505,BAZ1B/SRCAP/KDM3B/SETDB1/ATXN7/DTX3L/NIPBL/KDM2A/PPP4R3B,9
GOBP_DNA_METHYLATION_DEPENDENT_HETEROCHROMATIN_ASSEMBLY,3/67,24/17872,9.63380015345037e-05,0.0060050687623174,0.00535436471686505,MORC2/SETDB1/RESF1,3
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,3/67,25/17872,0.000109181769733476,0.0063803096688,0.00568894484400743,PARP9/NLRC5/PARP14,3
GOBP_NUCLEAR_TRANSPORT,7/67,308/17872,0.000151347516973459,0.00832411343354026,0.00742211971783157,RGPD5/RGPD3/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,7
GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,3/67,29/17872,0.000171606259752342,0.00891399182602441,0.00794807939905582,BAZ1B/ICE2/ICE1,3
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,8/67,429/17872,0.000195047734080314,0.00959840165079442,0.0085583271685102,RGPD5/RGPD3/NIPBL/RGPD8/RGPD6/RGPD2/RGPD1/RGPD4,8
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY,3/67,31/17872,0.000209974421927489,0.0098163042251101,0.0087526180087669,MORC2/SETDB1/RESF1,3
GOBP_FACULTATIVE_HETEROCHROMATIN_ASSEMBLY,3/67,32/17872,0.000231075912008431,0.010288379891804,0.0091735399654475,MORC2/SETDB1/RESF1,3
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY,3/67,36/17872,0.000329092542837291,0.0133783272849073,0.0119286633376263,MORC2/SETDB1/RESF1,3
GOBP_VIRAL_RNA_GENOME_REPLICATION,3/67,36/17872,0.000329092542837291,0.0133783272849073,0.0119286633376263,MORC2/SETDB1/RESF1,3
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,4/67,90/17872,0.000361760355850131,0.0140935805299947,0.0125664123611098,MORC2/SETDB1/RESF1/ATR,4
GOBP_PROTEIN_POLY_ADP_RIBOSYLATION,2/67,10/17872,0.000611057004751448,0.0228535319777042,0.0203771430637114,PARP9/PARP14,2
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,4/67,110/17872,0.00077278105037484,0.0277903954654029,0.0247790523035172,PARP9/DTX3L/ARID2/PPP4R3B,4
GOBP_PROTEIN_MONO_ADP_RIBOSYLATION,2/67,12/17872,0.000891885382280172,0.030885660460443,0.0275389170668966,PARP9/PARP14,2
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,4/67,117/17872,0.000973107536704285,0.0324948409578038,0.0289737281605186,PARP9/NLRC5/TLR3/PARP14,4
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III,3/67,53/17872,0.00103174231967024,0.0332647954790233,0.0296602510772716,BAZ1B/ICE2/ICE1,3
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,5/67,213/17872,0.00121642310079927,0.036910797695341,0.0329111756540502,BAZ1B/MORC2/SETDB1/RESF1/ATR,5
GOBP_POSITIVE_REGULATION_OF_CHROMATIN_BINDING,2/67,14/17872,0.00122378045834821,0.036910797695341,0.0329111756540502,PARP9/DTX3L,2
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,3/67,57/17872,0.00127499382297117,0.0372537257649387,0.0332169443353014,MORC2/SETDB1/RESF1,3
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,4/67,129/17872,0.00139733927738607,0.0395912795259387,0.0353012027971219,PARP9/DTX3L/ATR/ARID2,4
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,2/67,16/17872,0.00160598503630165,0.0429027431126297,0.0382538390601775,PARP9/DTX3L,2
GOBP_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,2/67,16/17872,0.00160598503630165,0.0429027431126297,0.0382538390601775,ICE2/ICE1,2
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,3/67,64/17872,0.00178189573633593,0.0438440135124763,0.0390931142154587,PARP9/DTX3L/ARID2,3
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,3/67,64/17872,0.00178189573633593,0.0438440135124763,0.0390931142154587,PARP9/NLRC5/PARP14,3
GOBP_SNRNA_METABOLIC_PROCESS,3/67,64/17872,0.00178189573633593,0.0438440135124763,0.0390931142154587,METTL4/ICE2/ICE1,3
GOBP_RESPONSE_TO_INTERFERON_GAMMA,4/67,139/17872,0.00183796505239483,0.0440640339484401,0.0392892934277113,PARP9/NLRC5/TLR3/PARP14,4
